City,Duration,IncidentDate,PostedDate,Shape,State,Summary
Wilson,5 minutes,8/26/2016 7:00:00 AM,8/29/2016 12:00:00 AM,Cigar,NC,White, pill shaped, silent, wingless aircraft glided from north to south across the horizon in full daylight.
Waterton (Canada),2 minutes,8/26/2016 3:00:00 AM,8/29/2016 12:00:00 AM,Disk,,Bluish green object moving up and down over a lake.
Astoria,3 seconds,8/25/2016 11:00:00 PM,8/29/2016 12:00:00 AM,Circle,OR,Large yellow orb crossed the sky twice heading east.
Cedar Park,3 minutes,8/25/2016 10:15:00 PM,8/29/2016 12:00:00 AM,Light,TX,Extremely bright light grew faint and stopped.
Pacific Palisades,<1 minute,8/25/2016 9:35:00 PM,8/29/2016 12:00:00 AM,Oval,CA,Two fiery deep orange oval-ish shapes erratically flying from north heading southbound against local flight patterns, then disappearing
Aloha,,8/25/2016 9:00:00 PM,8/29/2016 12:00:00 AM,Circle,OR,Red round light bouncing around the sky quickly
Canton,5 minutes,8/25/2016 8:58:00 PM,8/29/2016 12:00:00 AM,Fireball,OH,Golden glowing, flame like orb in night sky.
Kennesaw,1-2 minutes,8/25/2016 8:45:00 PM,8/29/2016 12:00:00 AM,Light,GA,Lights in the sky in Kennesaw.
Sheffield,3 minutes,8/25/2016 8:15:00 PM,8/29/2016 12:00:00 AM,Diamond,MA,Two groups of orange diamond shaped lights moving very slowly (7 total diamonds) independently of each other and gone within 3 mins.
Harrogate,15 minutes,8/25/2016 4:15:00 PM,9/9/2016 12:00:00 AM,Sphere,TN,At around 4:15 p.m.,as I was waiting to pick my child up from basketball practice, I noticed a small silver circular object in the sky.
Cicero,,8/25/2016 2:00:00 PM,8/29/2016 12:00:00 AM,,IL,Yesterday afternoon at approximately 2:00pm my 7 year old son noticed a beam of light that appeared to be coming from the sky into our
Goldsboro,~2 hours,8/25/2016 10:30:00 AM,8/29/2016 12:00:00 AM,Unknown,NC,At first appearance we thought it was a star.
Blackshear,2 minutes,8/25/2016 10:00:00 AM,8/29/2016 12:00:00 AM,Unknown,GA,unexplained object that disappeared into the nite sky.
McConnellsburg,3 minutes,8/25/2016 5:40:00 AM,8/29/2016 12:00:00 AM,Triangle,PA,08/24/2016 large, silent, triangular object flew over farm.
Lakewood,3 minutes,8/25/2016 2:20:00 AM,8/29/2016 12:00:00 AM,Fireball,WA,Third time I've seen this. This time strange because they were red at first than turned white toward Ft. Lewis.
Mosca,00:20.0,8/24/2016 11:30:00 PM,8/25/2016 12:00:00 AM,Formation,CO,In Pinon Flats in Great Sand Dunes. My friend and I were taking photos of the night sky. ((NUFORC Note: Insect in flight? PD))
Thornton,2 minutes,8/24/2016 11:30:00 PM,8/25/2016 12:00:00 AM,Changing,CO,Shape changing square/diamond UFO with circle lights that changed color. Flying very low.
Whitehall,10 seconds,8/24/2016 9:45:00 PM,8/25/2016 12:00:00 AM,Flash,NY,Streak of light over Whitehall, NY, pauses then vanishes is a flash of light lasted just seconds.
Emporium,20 minutes,8/24/2016 8:30:00 PM,8/25/2016 12:00:00 AM,Other,PA,I just witnessed 2 fighter jets escorting what looked to be a huge dark thing. At first I thought it was an airplane.
Rantoul,0.30 minutes,8/24/2016 8:30:00 PM,8/29/2016 12:00:00 AM,Circle,IL,Ufo maybe?
Rantoul,30 minutes,8/24/2016 8:15:00 PM,8/25/2016 12:00:00 AM,Light,IL,Two white lights seen by two separate people 30 minutes apart in same location, central IL.
SeaTac Airport,3-5 minutes,8/24/2016 8:00:00 PM,8/29/2016 12:00:00 AM,Oval,WA,At first I thought it was just someone playing with a drone because it was moving around all over the place, but it kept moving.
Recife,Few seconds,8/24/2016 6:20:00 PM,8/29/2016 12:00:00 AM,Light,,Hi, i'm Brazilian and i'm trying to type in english, so...
Lakeland,4 minutes,8/24/2016 4:00:00 PM,8/25/2016 12:00:00 AM,Circle,FL,Driving E. In the SE direction, I notice a bright white light that isn't moving.
Murrieta,1:30,8/24/2016 12:20:00 PM,9/9/2016 12:00:00 AM,Rectangle,CA,3 rectangular UFO's, white, black, and grey.
Syracuse,30 minutes,8/24/2016 8:00:00 AM,8/25/2016 12:00:00 AM,Light,NY,Bright stationary lights in the sky that looked like stars in bright day light.
Walnut Creek (area off I-680),30 seconds,8/24/2016 6:45:00 AM,8/25/2016 12:00:00 AM,Formation,CA,Driving towards San Jose area this morning and noticed small bright lit craft hovering in distance; area was hilly.
Cleveland (Oneida Lake),snap of camera,8/24/2016 6:31:00 AM,9/9/2016 12:00:00 AM,Other,NY,Partial CLOSE-UP picture of UFO over Oneida Lake, NY. 8/24/16 @ 6:31am
Mobile,Mobile,8/24/2016 3:45:00 AM,8/29/2016 12:00:00 AM,Cigar,AL,I was leaving work on I-65 S, @ around government blv exit and saw this in the air for a few minutes.
Holiday,Hours,8/24/2016 12:00:00 AM,8/29/2016 12:00:00 AM,Light,FL,Flashing circular objects moving.
Baytown,15 minutes,8/23/2016 11:30:00 PM,8/25/2016 12:00:00 AM,Other,TX,Huge cloud of smoke, with a bright flashing light changing from pink to purple at each flash. Appeared to be from a very large fire.
Rutland (near; Griffith Lake),6 seconds,8/23/2016 11:00:00 PM,8/29/2016 12:00:00 AM,Circle,VT,Bright flash of circler light over Green Mt..
Seminole,1:16,8/23/2016 10:54:00 PM,8/25/2016 12:00:00 AM,Changing,FL,10:54 PM EST Seminole, FL. Leaving out home next to Seminole High School, we noticed an odd light arrangement in the sky.
Holland,<1 minute,8/23/2016 10:20:00 PM,8/25/2016 12:00:00 AM,Fireball,MI,2 bright orange/red balls moving SSE to NNW (one after the other) across sky in approximately 10 seconds.
Carver,3 seconds,8/23/2016 10:07:00 PM,8/25/2016 12:00:00 AM,Cylinder,MA,Fast straight down. Lights underneath. ((anonymous report))
Ocean City,3 seconds,8/23/2016 9:40:00 PM,8/25/2016 12:00:00 AM,Formation,MD,I saw 5 lights, in the shape of a "V," flying across the sky in Ocean City, MD.
East Providence,2 minutes,8/23/2016 9:30:00 PM,8/25/2016 12:00:00 AM,Light,RI,For ~2 mins., a low lying bright amber covered light hovered in the sky and disappeared without moving and in the area of a/c.
Palm Harbor,10-12 minutes,8/23/2016 9:00:00 PM,8/29/2016 12:00:00 AM,Light,FL,On the night of Aug 23 at around 9 to 9:30pm I observed a group of about 20 orange/red Lights traveling from west to east in the sky. T
Charleston,,8/23/2016 7:30:00 PM,8/25/2016 12:00:00 AM,Light,SC,Star-like object disappears into clouds.
Gila Bend,20 minutes,8/23/2016 7:00:00 PM,9/2/2016 12:00:00 AM,Light,AZ,Lights in the sky.
Kansas City/Columbia (between),10 minutes (flyover),8/23/2016 5:30:00 PM,8/25/2016 12:00:00 AM,Triangle,MO,I-70/MM 90, I saw two low-flying triangular crafts. They were massive and appeared to be flat. ((NUFORC Note: B2 bombers. PD))
Hilliard,30,8/23/2016 10:30:00 AM,8/25/2016 12:00:00 AM,Triangle,OH,((HOAX??)) the of us had seen it on the right side above a neighbor's house. ((anonymous report))
Boise,seconds,8/23/2016 2:00:00 AM,8/25/2016 12:00:00 AM,Sphere,ID,Large green glowing spherical light traveling north at high rate of speed. No tail, no sound.
Ann Arbor,5 minutes,8/22/2016 10:30:00 PM,8/25/2016 12:00:00 AM,Light,MI,Two red glowing lights, moving slowly southeastward, looking from central Ann Arbor.
Philadelphia,30 seconds,8/22/2016 10:26:00 PM,8/25/2016 12:00:00 AM,Light,PA,Flash of light falls from sky and disappears when it hits the ground. ((anonymous report))
Hossegor (France),1 second,8/22/2016 10:23:00 PM,8/25/2016 12:00:00 AM,Triangle,,Black silent hight speed triangle.
Prescott Valley,8 seconds,8/22/2016 10:15:00 PM,8/25/2016 12:00:00 AM,Other,AZ,I saw two bright orange lights in the night that slowly glowed on , then slowly glowed off.
Montreal West (Canada),4 seconds,8/22/2016 10:06:00 PM,8/25/2016 12:00:00 AM,Disk,QC,Disk-shaped object with 3 pairs of lights appears in photo taken of planets in the night sky.
Westwood,10 seconds,8/22/2016 9:50:00 PM,8/25/2016 12:00:00 AM,Circle,MA,Bright circle light being, followed by two helicopters. ((anonymous report)).
Stoddard,2 minutes,8/22/2016 9:30:00 PM,8/25/2016 12:00:00 AM,Rectangle,NH,Rectangular object with square lights on the same level, but randomly spaced on the lower surface.
Avalon,3 hours,8/22/2016 9:25:00 PM,8/25/2016 12:00:00 AM,Other,CA,Flat, agile.
Oak Grove,5 seconds,8/22/2016 9:00:00 PM,8/25/2016 12:00:00 AM,Circle,MO,Looked up and saw a yellow/orange stationary light that was brighter than a shooting star slowly get brighter over about two seconds.
Montrose,1 minute,8/22/2016 8:15:00 PM,8/25/2016 12:00:00 AM,Sphere,CO,One large orange ball crossed the sky above the horizon at apporximately 8:15 on 8-22-16 in Montrose, CO.
Mantua,5 minutes,8/22/2016 8:00:00 PM,8/25/2016 12:00:00 AM,Light,NJ,Glowing object slowly moved across the sky near 8 PM.
Sedona,2-3 hours,8/22/2016 8:00:00 PM,8/29/2016 12:00:00 AM,Unknown,AZ,Lights and entities in Northern Arizona.
Swedesboro,2-3 minutes,8/22/2016 7:00:00 PM,8/25/2016 12:00:00 AM,Cigar,NJ,Driving on Kings Highway, my husband, daughter and I, saw something in the sky. It wasn't a plane, and there were 3 of them.
Santa Ana,30 seconds,8/22/2016 12:25:00 PM,8/25/2016 12:00:00 AM,Disk,CA,Shape of a saucer. Moved quickly. Was only 1; grey. I'm a 29 yr old college-educated female. ((anonymous report))
Elkhorn,7 minutes,8/22/2016 6:00:00 AM,8/25/2016 12:00:00 AM,Oval,NE,Sphere not moving than vanished in seconds.
Perris,>20 minutes,8/22/2016 2:49:00 AM,8/25/2016 12:00:00 AM,Fireball,CA,Orange light in sky that makes explosion sounds.
Perris,40 minutes,8/22/2016 2:25:00 AM,8/29/2016 12:00:00 AM,Unknown,CA,Slow moving bright light shoots pyrotechnic toward ground over rural Perris, Gavilan Hills.
Mauriceville/Buna,~13 minutes,8/22/2016 2:00:00 AM,9/2/2016 12:00:00 AM,Light,TX,Bright white flashing and moving light that followed along side 2 passengers in a car over 20 miles up above the tree line at night
Hibbing,30 seconds,8/22/2016 12:30:00 AM,8/25/2016 12:00:00 AM,Fireball,MN,Seen a glowing object, kind of at first looked triangular then turned into more of a fire ball look. Glowing.
Rheden (Netherlands),15 minutes,8/22/2016 12:30:00 AM,8/25/2016 12:00:00 AM,Light,,Light stayed for 10 or 15 minutes then slowly moves and fades.
Whitehorse (Canada),the past three nights,8/22/2016 12:00:00 AM,8/29/2016 12:00:00 AM,Other,YT,((HOAX??)) Cool scary and weird.
Silverton,1-2 minutes?,8/21/2016 11:00:00 PM,8/25/2016 12:00:00 AM,Light,OR,Camping outside when a bright light in the sky flashed, moved to the right, then faded out.
Silverton,2 minutes?,8/21/2016 11:00:00 PM,8/25/2016 12:00:00 AM,Light,OR,Bright white light in night sky flashed, moved to the right, then faded out.
