IncidentDate,City,State,Shape,Duration,Summary,PostedDate
8/19/2016 22:00,Fort Pierce,FL,Fireball,2:00,"From my backyard in Fort Pierce/Lakewood Park we witnessed a fireball over the East Coast coming from N, heading S.",8/25/2016
8/19/2016 21:45,Curtis Bau,MD,Circle,3 minutes,Two orange objects over Baltimore.,8/25/2016
8/19/2016 21:00,Gosnell,AR,Triangle,15 minutes,"Black triangle, two white lights, one red blinking light.",8/25/2016
8/19/2016 21:00,Sylvania,OH,Disk,1 minute,"Saw UFO floating in air while driving home. My bf and his friend saw it, as well. I saw it from a distance and it did not move.",8/25/2016
8/19/2016 20:49,Knoxville,TN,Light,25 minutes,UFO Fleet of bright green star-like orbs photographed while traveling across downtown Knoxville.,8/29/2016
8/19/2016 15:35,Corinna,ME,Sphere,10 seconds,Silver ball darts across sky and disappears.,8/25/2016
8/19/2016 9:30,Sun City,CA,Light,5 seconds,A bright white light that seemed to go up and 10 minutes later a big blue/green fireball came from the exact place.,8/25/2016
8/19/2016 6:55,East Los Angeles,CA,Oval,5 minutes,Silver oval object.,8/19/2016
8/19/2016 6:30,Pompano Beach,FL,Fireball,Few seconds,Green Fireball spotted over Pompano Beach in the Morning.,8/29/2016
8/19/2016 6:30,Knoxville,TN,,,Circle in yard.,8/25/2016
8/19/2016 0:55,Vero Beach,FL,Fireball,10 minutes,Fireball looking UFO hovered near us on beach,9/2/2016
8/19/2016 0:54,Citrus Springs,FL,Light,5 minutes,I was looking at the sky and seen a bright light coming from this thing in the sky; it got brighter. ((anonymous report)),8/25/2016
8/19/2016 0:54,Boca Raton,FL,Fireball,2 minutes,"Silent fireball like object slowly flew across sky, then darted off to the east, like a shooting star, leaving our atmosphere.",8/19/2016
8/19/2016 0:53,Vero Beach,FL,Circle,2:24,What I thought was a meteor might have been something else.,8/19/2016
8/19/2016 0:00,Warren,MI,Unknown,20+ minutes,"2 flashing white lights; 1 not moving, the other moving in circle pattern.",8/19/2016
8/18/2016 23:55,Lake Wales,FL,Circle,3-4 minutes,firey round object approached us and stop changing direction and color with no noise.,8/25/2016
8/18/2016 22:40,Atlantic City,NJ,Triangle,2 minutes,Large triangular craft seen over Rt. 30.,8/19/2016
8/18/2016 22:30,Layton,UT,Flash,10-20 seconds,One very bright strobe ufo.,8/25/2016
8/18/2016 22:10,St. Marys,GA,Light,1 minutes,Zig-zag high speed lights like star or satellite.,8/19/2016
8/18/2016 22:00,Slatington,PA,Unknown,10-20 seconds,Object with red lights made hard 90 degree turn without slowing down.,8/29/2016
8/18/2016 21:45,Albany,OR,Circle,Ongoing,"Circle aircraft, with three non-blinking lights, passed over very slowly.",8/19/2016
8/18/2016 21:00,Mesa,AZ,Fireball,2 seconds,"Green, bright, ball falling from sky, Mesa, AZ.",8/19/2016
8/18/2016 20:37,Maricopa,AZ,Circle,4 minutes,Bright flashing light zig zagging across the sky. ((anonymous report)),8/19/2016
